corp_code,corp_name,year,quarter,매출액,영업이익,순이익,영업현금흐름,수주잔고,수주잔고_증감
00148443,제일파마홀딩스,2025,1Q,182043254689.0,7118868706.0,4611176799.0,-11058507007.0,0.0,0.0
00148443,제일파마홀딩스,2025,2Q,159780244481.0,6927077436.0,2891631366.0,-15738325836.0,0.0,0.0
00148443,제일파마홀딩스,2025,3Q,161363481652.0,18089835256.0,14217191171.0,-1579374594.0,0.0,0.0
00966168,디알젬,2024,1Q,28846493306.0,3249333118.0,0.0,-1812407363.0,0.0,0.0
00966168,디알젬,2024,2Q,27375340127.0,2506332959.0,0.0,-6137094274.0,0.0,0.0
00966168,디알젬,2024,3Q,24308922507.0,654604916.0,-1003509257.0,-7631556311.0,0.0,0.0
00966168,디알젬,2024,4Q,104005797536.0,8850376907.0,10147180810.0,3675631554.0,0.0,0.0
00966168,디알젬,2025,1Q,23338074436.0,1821363965.0,1152198367.0,4475229782.0,0.0,0.0
00966168,디알젬,2025,2Q,27170460853.0,2833351165.0,906011277.0,7450540958.0,0.0,0.0
00966168,디알젬,2025,3Q,24356216153.0,2210998168.0,1995123615.0,6691657515.0,0.0,0.0
00438036,팅크웨어,2024,1Q,96291564831.0,4945179464.0,5352673478.0,1963042838.0,0.0,0.0
00438036,팅크웨어,2024,2Q,126827490450.0,9198558511.0,11631503246.0,-16874289237.0,0.0,0.0
00438036,팅크웨어,2024,3Q,131583925648.0,8607554096.0,3748893018.0,-8115789636.0,0.0,0.0
00438036,팅크웨어,2024,4Q,489135004656.0,26035361129.0,19004215473.0,20950484478.0,0.0,0.0
00438036,팅크웨어,2025,1Q,142491236667.0,412142744.0,-1336417006.0,-34979765268.0,0.0,0.0
00438036,팅크웨어,2025,2Q,138442468869.0,9099425721.0,2830454889.0,-38919434965.0,0.0,0.0
00438036,팅크웨어,2025,3Q,131967890758.0,3508678816.0,1772746870.0,-22120564415.0,0.0,0.0
01255652,레이크머티리얼즈,2024,1Q,30831559005.0,4924780036.0,4171212876.0,-465239278.0,40101750.0,0.0
01255652,레이크머티리얼즈,2024,2Q,30724989677.0,5057783803.0,4364317294.0,5808522208.0,0.0,-40101750.0
01255652,레이크머티리얼즈,2024,3Q,32443773472.0,3955374033.0,2945130696.0,-3922346949.0,0.0,0.0
01255652,레이크머티리얼즈,2024,4Q,138725778383.0,22166082728.0,21020540344.0,896169257.0,0.0,0.0
01255652,레이크머티리얼즈,2025,1Q,31981730965.0,2762729351.0,1692433377.0,9210605463.0,206111724.0,206111724.0
01255652,레이크머티리얼즈,2025,2Q,31244737888.0,4344284611.0,1137805204.0,9930535023.0,0.0,-206111724.0
01255652,레이크머티리얼즈,2025,3Q,36167760870.0,1379907552.0,470179540.0,10691639414.0,0.0,0.0
00664181,인텔리안테크,2024,1Q,46697934211.0,-9345658844.0,-4871530043.0,17964211726.0,0.0,0.0
00664181,인텔리안테크,2024,2Q,71699403378.0,910464541.0,2655172860.0,15740533365.0,0.0,0.0
00664181,인텔리안테크,2024,3Q,62360862093.0,-5735455232.0,-12118468721.0,-1954487219.0,0.0,0.0
00664181,인텔리안테크,2024,4Q,257769448883.0,-19443692778.0,-3011577414.0,3956964481.0,0.0,0.0
00664181,인텔리안테크,2025,1Q,43350439171.0,-12038860310.0,-14132098082.0,11807238416.0,0.0,0.0
00664181,인텔리안테크,2025,2Q,74736003382.0,1763174467.0,-4067811414.0,-21615974983.0,0.0,0.0
00664181,인텔리안테크,2025,3Q,77226483698.0,2373046193.0,3358804767.0,-29322507074.0,0.0,0.0
01058101,라파스,2024,1Q,6242954483.0,-1287659393.0,-1618161443.0,-497323960.0,0.0,0.0
01058101,라파스,2024,2Q,7306598285.0,-564753847.0,2352144680.0,-24964447.0,0.0,0.0
01058101,라파스,2024,3Q,6280784785.0,-1111363488.0,-10065268379.0,1185770966.0,0.0,0.0
01058101,라파스,2024,4Q,27215365204.0,-3463000040.0,-5799509037.0,4883887248.0,0.0,0.0
01058101,라파스,2025,1Q,7064419037.0,-684938206.0,-1176756356.0,-316487587.0,0.0,0.0
01058101,라파스,2025,2Q,8115063858.0,-722060217.0,-529311547.0,761400429.0,0.0,0.0
01058101,라파스,2025,3Q,9599627776.0,-644704817.0,-1236179311.0,309154271.0,0.0,0.0
01213586,아이디피,2024,1Q,9149252871.0,1482720264.0,1854367094.0,704806792.0,0.0,0.0
01213586,아이디피,2024,2Q,12244197105.0,3365144232.0,3329533542.0,5287150609.0,0.0,0.0
